source,target,weight
1,4,1
1,5,4
1,16,4
1,19,4
1,29,1
1,44,4
1,54,1
1,56,1
1,287,1
1,497,1
1,499,1
1,543,1
1,545,1
1,619,1
1,787,4
1,799,1
2,15,4
2,31,4
3,4,13
3,12,1
3,13,1
3,22,1
3,33,1
3,40,16
3,53,4
3,69,1
3,95,84
3,332,1
3,341,1
3,369,1
3,465,1
3,750,2
4,8,4
4,29,1
4,40,4
4,41,9
4,53,4
4,57,14
4,69,1
4,112,4
4,853,9
5,16,21
5,19,5
5,23,4
5,44,9
5,62,1
5,588,4
6,10,1
6,11,20
6,24,14
6,30,5
6,34,1
6,35,4
6,38,3
6,43,1
6,46,4
6,63,1
6,105,2
6,519,4
6,690,1
6,693,1
7,9,9
7,129,9
8,22,1
8,31,1
8,47,1
8,104,1
8,112,4
9,129,10
10,11,1
10,14,1
10,24,1
10,30,1
10,34,1
10,43,1
10,48,1
10,55,1
10,58,1
11,24,10
11,30,10
11,34,1
11,35,5
11,38,3
11,43,1
11,46,4
11,63,1
11,105,2
11,519,4
11,690,1
11,693,1
11,779,5
11,849,5
12,13,4
12,22,1
12,38,1
12,64,6
12,70,1
12,71,9
12,121,1
12,410,1
12,523,1
13,22,1
13,64,2
13,70,1
13,121,1
14,31,1
14,48,2
14,55,4
14,58,1
14,59,3
15,31,4
16,19,6
16,23,4
16,42,1
16,44,9
16,62,1
16,588,4
18,49,4
19,42,1
19,44,5
19,62,1
20,23,1
20,171,1
21,27,2
21,50,4
21,67,2
22,31,11
22,47,1
22,104,1
23,171,1
23,373,1
23,377,1
24,30,5
24,34,1
24,43,1
24,46,4
24,63,1
24,435,4
24,519,4
24,558,4
25,75,1
25,216,1
25,217,1
25,230,1
25,238,1
25,247,1
25,761,1
27,50,1
27,67,1
28,786,16
28,792,16
29,37,4
29,211,25
29,514,25
29,538,25
29,748,1
29,856,25
30,34,1
30,43,1
30,46,4
30,779,5
30,849,5
31,47,1
31,59,1
31,104,1
34,43,1
34,216,1
34,263,1
34,264,1
34,265,1
34,271,1
34,272,1
34,275,1
34,276,1
34,278,1
35,38,3
35,105,2
36,56,4
36,793,4
36,799,4
36,802,4
36,806,4
36,811,4
37,388,1
37,624,1
37,838,1
38,105,1
39,101,8
39,322,8
39,851,8
40,352,1
40,406,1
40,470,1
40,750,2
40,794,1
41,853,9
44,62,1
45,106,4
45,127,4
47,104,1
48,55,1
48,58,1
50,67,1
51,88,1
51,667,1
51,842,1
52,65,4
52,66,8
54,56,1
54,111,4
54,809,4
55,58,1
55,59,2
56,84,4
56,129,4
56,793,4
56,799,9
56,802,5
56,806,4
56,811,5
56,829,3
60,320,4
60,336,4
64,70,1
65,66,8
66,311,2
66,330,2
68,522,1
69,328,13
69,329,13
72,73,5
72,78,5
72,148,1
72,180,4
72,194,4
72,243,1
72,263,1
72,271,1
72,280,1
72,327,1
72,533,4
72,650,1
72,659,1
72,660,1
72,686,1
72,691,1
73,78,5
74,85,11
